10,115,5/9/2018,Rubi Paul,Spilt Milk
100,2345,2/3/2018,Arabella Wilkerson,Maison Premiere
1000,130,8/29/2018,Jordin Gilbert,Leyenda
1002,30,8/21/2018,Mollie Perry,The Stormy Cod Bar
1003,2030,11/26/2018,Nathanael Love,The Dead Rabbit
1004,2030,3/19/2018,Braxton Stephens,Holeman & Finch Public House
1005,0,5/29/2018,Demarcus Davila,Frankie's Downtown
1006,2315,10/18/2018,Leon Berry,The Beautiful Snowdrop Tavern
1007,1600,11/18/2018,Allie Cantrell,The Brewer's Art
1008,1230,9/22/2018,Jonas Bonilla,Apotheke
1009,45,4/23/2018,Jude Strong,The Defeated Angel Pub
1010,1815,4/21/2018,Aisha Curry,Mai Tai Bar
1011,1815,8/25/2018,Spencer Schroeder,Cafe D'Mongo's Speakeasy
1012,2345,3/27/2018,Nigel Skinner,Polite Provisions
1013,1500,12/20/2018,Odin York,The Thin King
1017,1415,5/30/2018,Riley Gill,The No Mad Bar
1019,2215,8/30/2018,Braelyn Morton,ABV
1020,2245,3/22/2018,Alfred Vang,The Round Castle
1021,2200,7/21/2018,Mateo Woodard,Billy Sunday
1022,1515,10/24/2018,Jenny Reilly,The Dapper Flame
1023,2145,1/15/2018,Esperanza Rubio,33 Taps
1024,145,4/24/2018,Jeffery Sosa,The Bella Union
1025,2015,1/4/2018,Bryan Henry,The Dapper Flame
1027,1530,3/3/2018,Julianne Burnett,Leyenda
103,1445,1/6/2018,Ernesto Peck,The Slow Saxophone
1031,1600,12/30/2018,Joslyn Houston,McGovern's Tavern
1032,2030,5/20/2018,Daphne Richards,Room 11
1035,330,3/29/2018,Kian Mercado,The Different Lemon Inn
1036,2130,3/18/2018,Jaylin Collier,Kon Tiki Lounge
1039,115,4/20/2018,Isaias Johnston,Frankie's Downtown
104,1230,12/14/2018,Kathryn Small,Public House
1040,2345,10/6/2018,Grant Cummings,Dick's Place
1042,1945,5/14/2018,Dillon Rodriguez,The Diamond Star Bar
1043,1600,3/3/2018,Cherish Reeves,Nick's English Hut
1044,1600,5/3/2018,Theresa Matthews,The Tiny Chimpanzee Bar
1045,2145,7/26/2018,Meredith Glenn,The Salty Twig
1046,1800,5/25/2018,April Gould,The Cowardly Tavern
1048,215,11/24/2018,Jefferson Walters,The Daily Hamster Inn
1049,2145,3/23/2018,Ruby Hawkins,The Brewer's Art
1050,2145,11/24/2018,Reed Campbell,Proof
1051,2115,6/7/2018,Karly Costa,The Dapper Flame
1053,0,2/8/2018,Tyrone Green,33 Taps
1056,1515,1/29/2018,Marcelo Mathis,ROKC
1059,2000,10/19/2018,Mike Ortega,Multnomah Whiskey Library
106,1515,5/16/2018,Madilyn Hudson,Academia
1060,2345,3/18/2018,Alfonso Harrington,The Dramatic Parrots
1061,2000,10/4/2018,Zavier Rios,The Upstairs Bar
1062,2200,11/23/2018,Dalia Gaines,Bar Liquorice
