Aarav Walker,Houston,TX,(362) 845-1686,83 Pumpkin Hill Rd.
Aaron Rogers,San Francisco,CA,(361) 504-3505,897 Summerhouse Ave.
Abbey Ellis,Houston,TX,(360) 812-6235,688 Golden Star St.
Abel Jensen,Dallas,TX,(907) 635-9330,927 Overlook Street
Abraham Preston,Boston,MA,(822) 458-2833,698 York Street
Ace Giles,San Diego,CA,(644) 373-8410,583 Bear Hill Ave.
Ada Nichols,Jacksonville,FL,(492) 985-8524,443 Hickory St.
Adalyn Goodwin,Nashville,TN,(398) 401-4369,32 Bayport Dr.
Adalynn Austin,Columbus,OH,(753) 795-7001,430 W. Gonzales Court
Adan Dorsey,El Paso,TX,(736) 585-0378,912 Prospect Street
Addisyn Dominguez,Columbus,OH,(936) 246-2733,391 West 10th Lane
Adelaide Little,San Antonio,TX,(494) 932-0660,102 Arrowhead St.
Adeline Durham,San Diego,CA,(857) 610-6721,487 St Paul Ave.
Adelyn May,New York City,NY,(254) 898-0183,746 Wrangler Drive
Aden Oneal,Austin,TX,(459) 719-4738,715 Aspen St.
Adison Pineda,Nashville,TN,(749) 379-0179,47 Wakehurst St.
Aditya Hampton,Memphis,TN,(291) 302-6714,963 West St Paul St.
Adolfo Summers,Nashville,TN,(906) 796-1196,481 W. Thompson St.
Adonis Fernandez,Las Vegas,NV,(870) 368-2239,425 Sunnyslope Ave.
Adrian Carey,Phoenix,AZ,(678) 767-9559,174 Jennings Ave.
Adriel Powers,Las Vegas,NV,(217) 347-9300,325 North Williams Ave.
Adyson Sanders,San Antonio,TX,(832) 513-9794,416 Sherman Ave.
Agustin Carter,Houston,TX,(823) 652-8259,466 Brown Street
Ahmad Blanchard,Las Vegas,NV,(761) 587-1591,528 Meadowbrook Street
Ahmed Cohen,Seattle,WA,(374) 487-8429,722 Bedford Drive
Aidan Dean,San Diego,CA,(958) 596-2202,162 North Rockledge Dr.
Aidyn Coffey,Nashville,TN,(384) 435-5679,615 Evergreen St.
Aileen Dalton,Houston,TX,(827) 802-4924,545 Marsh Dr.
Aimee Walter,El Paso,TX,(748) 651-6620,719 Rockledge Street
Aisha Curry,Philadelphia,PA,(940) 449-1268,604 Essex Street
Aiyana Watts,Austin,TX,(993) 788-4816,94 E. Hill Field Court
Alan Reed,San Francisco,CA,(889) 389-6515,33 N. Purple Finch Court
Alanna Pratt,Jacksonville,FL,(691) 358-6301,47 Madison Ave.
Aldo Carrillo,Phoenix,AZ,(699) 267-1736,62 Alderwood Ave.
Aleah Conley,Austin,TX,(309) 437-9638,111 Homewood Court
Alejandra Yu,Seattle,WA,(751) 251-3164,637 Sunnyslope Ave.
Alena Lucas,Indianapolis,IN,(652) 679-6419,522 East Sierra Ave.
Alessandra Combs,San Diego,CA,(341) 438-5220,546 Indian Spring Ave.
Alessandro Potter,Philadelphia,PA,(361) 799-7506,108 South Ridge Ave.
Alexa Ferrell,Charlotte,NC,(511) 632-2654,742 East Gulf Ave.
Alexander Schmidt,Houston,TX,(514) 515-9268,72 East Sierra Ave.
Alexandria Lynch,San Francisco,CA,(376) 572-8211,524 Baker Avenue
Alexis Stevenson,Philadelphia,PA,(909) 420-3253,524 Silver Spear Rd.
Alexzander Spencer,El Paso,TX,(237) 800-9232,689 Smith Store St.
Alfonso Harrington,Charlotte,NC,(429) 833-6938,517 East Gulf Ave.
Alfred Vang,Dallas,TX,(931) 685-9551,83 Euclid Drive
Alfredo Sandoval,Boston,MA,(665) 289-4184,427 Aspen St.
Alia Gutierrez,Philadelphia,PA,(245) 798-1948,90 Baker St.
Aliana Bond,Detroit,MI,(887) 623-0041,994 Ketch Harbour Ave.
Alijah Patterson,Detroit,MI,(524) 907-3013,254 Essex Street
Alina Russell,Austin,TX,(558) 665-1315,995 Goldfield St.
Alisa Hansen,Dallas,TX,(205) 703-9714,526 John St.
Alisha Hines,Indianapolis,IN,(203) 601-3768,241 E. Harvey St.
Alison Herrera,Phoenix,AZ,(976) 727-0193,364 North Littleton Ave.
Alissa Mckinney,Detroit,MI,(952) 502-8763,98 S. Bellevue Lane
Aliya Briggs,Denver,CO,(933) 964-8661,612 Joy Ridge Street
Aliyah Bowen,Detroit,MI,(852) 552-5165,692 New Street
Allan Salazar,Denver,CO,(358) 826-5253,200 Hickory St.
