Employees Only,Orion Wolf,1500,100,1-1-2018
Maison Premiere,Jovanny Mccoy,1400,300,1-1-2018
Pete's Dueling Piano Bar,Isabella Barnett,1500,300,1-1-2018
The Itchy Ants Inn,Logan Klein,1400,100,1-1-2018
The Office,Addisyn Buckley,1200,100,1-1-2018
The Quaint Stag,Geovanni Dunlap,1500,200,1-1-2018
The Special Turtle Pub,Danica Harmon,1300,300,1-1-2018
The Stormy Cod Bar,Layton Todd,1300,300,1-1-2018
The Terrible Cave Bar,Marlene Gibbs,1400,300,1-1-2018
Yard House,Baylee Pitts,1300,400,1-1-2018
Broken Shaker,Neveah Kirby,1200,400,1-10-2018
The Alembic,Alison Swanson,1300,200,1-10-2018
The Annoying Shark,Fisher Gray,1300,200,1-10-2018
The Greasy Scream Pub,Kaydence Mccann,1400,100,1-10-2018
The Odd Snail Tavern,Jerome Jarvis,1300,100,1-10-2018
The Quaint Adventurer Inn,Elisa Lawrence,1300,200,1-10-2018
The Quaint Rats,Kelton Kelly,1400,200,1-10-2018
The Smart Child Tavern,Ingrid Blair,1500,400,1-10-2018
The Sound Table,Keon Doyle,1400,400,1-10-2018
Bar Liquorice,Gustavo Sherman,1500,300,1-11-2018
Libertine Liquor Bar,Rey Espinoza,1300,300,1-11-2018
McGreevy's,Jaslyn Ross,1200,400,1-11-2018
Spilt Milk,Franklin Mclaughlin,1200,400,1-11-2018
Spirit of 77,Arturo Galloway,1200,300,1-11-2018
The Bella Union,Lucas Caldwell,1300,300,1-11-2018
The Dubliner,Eddie Bass,1200,200,1-11-2018
The Lean Steed Tavern,Dillon Allen,1200,100,1-11-2018
Yvonne's,Zaire Wilcox,1500,200,1-11-2018
Mai Tai Bar,Tyrell Woods,1400,300,1-12-2018
Red Key Tavern,Rachael Mcclure,1400,200,1-12-2018
Sazerac Bar,Aylin Wolfe,1500,400,1-12-2018
The Dapper Flame,Avery Gross,1500,400,1-12-2018
The Dirty Wall Pub,Marlie Frank,1200,200,1-12-2018
The Embarrassed Rabbit Bar,Declan Butler,1200,200,1-12-2018
The Odd Snail Tavern,Lena Benitez,1300,100,1-12-2018
The Precious Apples Bar,Kendall Sheppard,1200,100,1-12-2018
The Ruthless Dawg,Tristin Hobbs,1200,400,1-12-2018
Vena's Fizz House,Tyrone Terrell,1300,100,1-12-2018
Apotheke,Raelynn Wright,1200,400,1-13-2018
Dick's Place,Natalya Shannon,1200,300,1-13-2018
Marvel Bar,Antwan Blackwell,1300,200,1-13-2018
McGreevy's,Kelsie Fernandez,1200,400,1-13-2018
Pete's Dueling Piano Bar,Cristofer Holden,1500,300,1-13-2018
Salty Dawg Saloon,Dane Weiss,1200,400,1-13-2018
Sazerac Bar,Lauryn Brock,1500,400,1-13-2018
Square Grouper Tiki Bar,April Shepherd,1500,200,1-13-2018
The Carousel Bar,Jaylene Strong,1300,200,1-13-2018
The Ethereal Steed Inn,Jada Sharp,1500,300,1-13-2018
The Fine Lobster Bar,Triston Ryan,1500,200,1-13-2018
The Hissing Bees Pub,Zaniyah Sanford,1200,200,1-13-2018
The Known Dragons,Jeremiah Hanna,1400,300,1-13-2018
The Molten Llama,Abbie Rivers,1500,400,1-13-2018
Wally's Mills Liquors,Nolan Tucker,1500,300,1-13-2018
33 Taps,Skyler Patel,1500,200,1-14-2018
Academia,Penelope Fletcher,1400,200,1-14-2018
Altitude Sky Lounge,Kaila Bray,1500,200,1-14-2018
Donna,Jaxon Christensen,1300,400,1-14-2018
Dutch Kills,Isaiah Hess,1500,300,1-14-2018
Million Dollar Cowboy Bar,Colby Miranda,1300,200,1-14-2018
Molly's Shebeen,Brittany Petty,1400,400,1-14-2018
Pete's Dueling Piano Bar,Ramon Morgan,1500,300,1-14-2018
Polite Provisions,Trinity Roberson,1500,100,1-14-2018
Prairie School,Quinten Joseph,1300,300,1-14-2018
The Earthy Mind Pub,Rogelio Baird,1200,300,1-14-2018
The Embarrassed Hamsters Tavern,Viviana Rubio,1400,300,1-14-2018
The Far Away Llama,Kyleigh Mercado,1300,100,1-14-2018
The Greasy Scream Pub,Paula Levine,1400,100,1-14-2018
The Itchy Ants Inn,Elaine Mays,1400,100,1-14-2018
The Old Seelbach Bar,River Gibson,1500,300,1-14-2018
The Tiny Chimpanzee Bar,Hadassah Little,1500,100,1-14-2018
The Whispering Giant Tavern,Ethan Barron,1300,100,1-14-2018
Tiny's Bar,Karli Owens,1300,400,1-14-2018
Wally's Mills Liquors,Rocco Mcdonald,1500,300,1-14-2018
Yvonne's,Jaidyn Williams,1500,200,1-14-2018
33 Taps,Aimee Miles,1500,200,1-15-2018
Edna's,Irvin Rosales,1500,400,1-15-2018
McSorley's Old Ale House,Anne Moses,1200,300,1-15-2018
The Bouncy Bat Bar,Laila Bartlett,1300,100,1-15-2018
The Fancy Parrots,Erin Kline,1400,200,1-15-2018
The Foamy Ore,Jamal Norton,1200,100,1-15-2018
The Frightened Kiwi Pub,Grace Logan,1200,400,1-15-2018
The Old Seelbach Bar,Ireland Schmitt,1500,300,1-15-2018
The Pointless Rhododendron Inn,Mya Macdonald,1500,200,1-15-2018
The Smart Child Tavern,Mathias Mosley,1500,400,1-15-2018
The Twin Stream Tavern,Christine Mcmahon,1500,200,1-15-2018
The Unwritten Fish Tavern,Akira Brennan,1300,100,1-15-2018
Ye Olde Gentlewoman Tavern,Ellis Pacheco,1300,100,1-15-2018
Distil,Makai Herrera,1200,100,1-16-2018
Donna,Israel Rios,1300,400,1-16-2018
Half Step,Jazmine Burke,1400,300,1-16-2018
Red Key Tavern,Madison Stanton,1400,200,1-16-2018
Robert's Western World,Alice Arroyo,1500,200,1-16-2018
ROKC,Karsyn Beasley,1200,300,1-16-2018
The Brewer's Art,Zachary Castaneda,1400,100,1-16-2018
The Light Dagger Tavern,Pedro Herman,1200,100,1-16-2018
The Wayland,Daniela Quinn,1400,300,1-16-2018
The Whining Pig,Chase Bell,1200,300,1-16-2018
Ye Olde Gentlewoman Tavern,Alfonso West,1300,100,1-16-2018
Apotheke,Eve Esparza,1200,400,1-17-2018
Bar Liquorice,Kane Rice,1500,300,1-17-2018
Blackberry Farm,Marley Gregory,1500,400,1-17-2018
Pengilly's Saloon,Colin Bailey,1500,200,1-17-2018
Please Don't Tell,Kimberly Moran,1300,400,1-17-2018
Range,Ronald Hawkins,1200,400,1-17-2018
The Better Princess Pub,Ezequiel Waller,1400,300,1-17-2018
The Capital Bar,Itzel Young,1400,200,1-17-2018
The Defeated Angel Pub,Ashlyn Romero,1300,100,1-17-2018
The Gigantic Child Pub,Mariela Middleton,1200,200,1-17-2018
The Salty Twig,Areli Short,1300,100,1-17-2018
The Shaking Leg Tavern,Shea Duffy,1400,100,1-17-2018
The Tricky Curry Tavern,Ronan Cole,1500,300,1-17-2018
Trick Dog,Magdalena Becker,1400,200,1-17-2018
Yard House,Yosef Christian,1300,400,1-17-2018
Ye Olde Gentlewoman Tavern,Jadon Huerta,1300,100,1-17-2018
Clyde Common,Harper Glass,1200,200,1-18-2018
Everson Royce Bar,Zander Kemp,1500,300,1-18-2018
Pete's Dueling Piano Bar,Aspen Russo,1500,300,1-18-2018
Square Grouper Tiki Bar,Monserrat Holland,1500,200,1-18-2018
The Annoying Shark,Adrianna Kirk,1300,200,1-18-2018
The Quaint Maple,Jamarion Farmer,1300,400,1-18-2018
The Slow Saxophone,Celia Rhodes,1400,100,1-18-2018
The Varnish,Kadence Ware,1400,200,1-18-2018
The Whimsical Zebra Pub,Dayami Goodman,1400,300,1-18-2018
The Whispering Mushroom Bar,Clarence Atkinson,1300,100,1-18-2018
Tiny's Bar,Kasen Washington,1300,400,1-18-2018
Voodoo,Xavier Cervantes,1300,400,1-18-2018
33 Taps,Audrina Francis,1500,200,1-19-2018
ABV,Giada Bender,1300,100,1-19-2018
Cafe D'Mongo's Speakeasy,Rafael Shaw,1200,100,1-19-2018
Everson Royce Bar,Ahmad Vargas,1500,300,1-19-2018
The Beachcomber,Maximilian Frey,1300,300,1-19-2018
The Hollow Worm Pub,Turner Osborn,1400,300,1-19-2018
The Kind Jaguar Bar,Micaela Brady,1500,400,1-19-2018
The Quaint Adventurer Inn,Peter Stuart,1300,200,1-19-2018
The Rare Inn,Clayton Beltran,1500,200,1-19-2018
The Superb Drum Bar,Romeo Odonnell,1400,100,1-19-2018
The Well-Groomed Pumpkin Inn,Griffin Wilkinson,1200,400,1-19-2018
Bar Agricole,Tabitha Abbott,1200,200,1-2-2018
Charlie B's,Myah Clarke,1500,100,1-2-2018
Goodnight Gracie,Nola Lynn,1300,100,1-2-2018
The Detailed Horn Pub,Nikolas Barrera,1300,200,1-2-2018
The Embarrassed Hamsters Tavern,Dakota Castro,1400,300,1-2-2018
The Lying Coyote,Ricky Mcintosh,1400,300,1-2-2018
The Obnoxious Lobster Inn,Bradyn Arnold,1400,400,1-2-2018
The Quaint Maple,Tate Vance,1300,400,1-2-2018
The Smart Child Tavern,Joe Norris,1500,400,1-2-2018
The Stormy Cod Bar,Micah Coffey,1300,300,1-2-2018
The Wayland,Halle Blanchard,1400,300,1-2-2018
The Whispering Mushroom Bar,Raiden Walter,1300,100,1-2-2018
Beach Tree Bar,Kylee Larsen,1300,300,1-20-2018
Julep,Maria Brandt,1400,300,1-20-2018
Mario's Fishbowl,Kadin Wise,1300,400,1-20-2018
McGreevy's,Esmeralda Yu,1200,400,1-20-2018
The Better Princess Pub,Chelsea Sullivan,1400,300,1-20-2018
The Dead Rabbit,Dominic Montoya,1200,200,1-20-2018
The Dirty Wall Pub,Kale Reese,1200,200,1-20-2018
The Hissing Bees Pub,Jaylee Burton,1200,200,1-20-2018
The Obnoxious Lobster Inn,Destinee Pearson,1400,400,1-20-2018
The Odd Snail Tavern,Zack Whitaker,1300,100,1-20-2018
The Quaint Rats,Bradley Hinton,1400,200,1-20-2018
The Thoughtful Lion Pub,Roger Serrano,1300,100,1-20-2018
The Whispering Giant Tavern,Yamilet Thornton,1300,100,1-20-2018
Trick Dog,Jett Walters,1400,200,1-20-2018
Wang Chung's Karaoke Bar,Maggie Horn,1200,300,1-20-2018
Ye Olde Seagulls Tavern,Mohamed Solis,1300,400,1-20-2018
Charlie Was A Sinner,Kierra Lamb,1500,200,1-21-2018
Diamond Reef,Cody Carney,1400,100,1-21-2018
Goodnight Gracie,Bianca Haney,1300,100,1-21-2018
Please Don't Tell,Helena Kelley,1300,400,1-21-2018
Seamstress,Janiah Davidson,1300,300,1-21-2018
Spirit,Damari Yates,1300,100,1-21-2018
The Beautiful Snowdrop Tavern,Natalia Tanner,1500,300,1-21-2018
The Detailed Horn Pub,Alannah Mckay,1300,200,1-21-2018
The Ethereal Steed Inn,Blaze Mckenzie,1500,300,1-21-2018
The German Table Tavern,Gilberto Craig,1500,200,1-21-2018
The Singing Armadillo,Aidyn Matthews,1300,100,1-21-2018
The Special Turtle Pub,Christina Chandler,1300,300,1-21-2018
The Varnish,Carl Patterson,1400,200,1-21-2018
Employees Only,Cara Lang,1500,100,1-22-2018
George & Dragon,James Sloan,1500,300,1-22-2018
Goodnight Gracie,Jacquelyn Williamson,1300,100,1-22-2018
Gooski's,Ciara Heath,1300,200,1-22-2018
Social,Derick Mathis,1500,100,1-22-2018
The Far Away Llama,Dominick Shea,1300,100,1-22-2018
The Far Barrel Bar,Blaine Welch,1200,100,1-22-2018
The Frightened Kiwi Pub,Kaylie Paul,1200,400,1-22-2018
The Greasy Scream Pub,Ayla Branch,1400,100,1-22-2018
The Griswold,Dalton Levy,1300,200,1-22-2018
The Hawthorne,German Barker,1300,200,1-22-2018
